iter	Logloss
0	0.6668113284
1	0.6488134925
2	0.6376864397
3	0.6300422985
4	0.6239871082
5	0.6201537816
6	0.6172936438
7	0.6152742955
8	0.6134536934
9	0.6121818173
10	0.6108643982
11	0.6096693813
12	0.6089320841
13	0.6078407407
14	0.6072631508
15	0.6063118718
16	0.6056463517
17	0.6051024139
18	0.60428652
19	0.6038589628
20	0.6033088076
21	0.6029102776
22	0.6025005821
23	0.6022159515
24	0.6018836812
25	0.6013951859
26	0.6009006762
27	0.6006138256
28	0.6003150152
29	0.5999014311
30	0.5996340274
31	0.5993952663
32	0.5991145026
33	0.5988427931
34	0.5986607369
35	0.5984420394
36	0.5981914383
37	0.5978749801
38	0.5975197949
39	0.5972576184
40	0.5970888352
41	0.5968342075
42	0.5966121655
43	0.5964004074
44	0.5960182337
45	0.5958970322
46	0.5954169854
47	0.5952922398
48	0.5950657795
49	0.5949488221
50	0.5947512693
51	0.5944377458
52	0.5942073932
53	0.5939374974
54	0.5938042926
55	0.5935785796
56	0.5934265988
57	0.5932339576
58	0.593062247
59	0.5929073642
60	0.5927285583
61	0.5924323995
62	0.5921679051
63	0.5917924821
64	0.5916651393
65	0.5913929038
66	0.5912002879
67	0.5909731348
68	0.5907629765
69	0.5906290098
70	0.5903837338
71	0.590217439
72	0.5900708487
73	0.5899217264
74	0.5898036735
75	0.5896295252
76	0.5894684577
77	0.5893257379
78	0.5890167306
79	0.5888085311
80	0.5886233987
81	0.5884294045
82	0.5882658774
83	0.5881467436
84	0.5879662109
85	0.5877875935
86	0.5876373758
87	0.587431973
88	0.5872244156
89	0.5870384381
90	0.5868965708
91	0.5867225784
92	0.5865747693
93	0.5865075012
94	0.5863982087
95	0.586249685
96	0.5861649361
97	0.5860413513
98	0.5859075225
99	0.5857434622
