iter	Passed	Remaining
0	155	15401
1	248	12196
2	417	13493
3	600	14423
4	753	14323
5	856	13422
6	973	12940
7	1090	12542
8	1187	12009
9	1314	11832
10	1412	11429
11	1524	11178
12	1624	10871
13	1747	10732
14	1847	10466
15	1943	10203
16	2031	9916
17	2131	9708
18	2217	9452
19	2300	9200
20	2411	9072
21	2511	8903
22	2597	8695
23	2756	8730
24	2892	8676
25	3057	8702
26	3234	8745
27	3402	8749
28	3478	8515
29	3556	8297
30	3625	8069
31	3719	7904
32	3799	7713
33	3867	7507
34	3948	7333
35	4017	7141
36	4095	6973
37	4193	6841
38	4270	6679
39	4394	6592
40	4526	6513
41	4656	6430
42	4744	6289
43	4833	6151
44	4930	6026
45	5023	5896
46	5120	5774
47	5282	5722
48	5452	5675
49	5639	5639
50	5736	5511
51	5865	5414
52	5978	5301
53	6048	5152
54	6174	5051
55	6290	4942
56	6402	4829
57	6495	4703
58	6589	4579
59	6692	4461
60	6793	4343
61	6887	4221
62	7001	4112
63	7074	3979
64	7163	3857
65	7259	3739
66	7335	3613
67	7430	3496
68	7519	3378
69	7603	3258
70	7735	3159
71	7849	3052
72	7970	2947
73	8083	2840
74	8167	2722
75	8332	2631
76	8523	2546
77	8663	2443
78	8810	2341
79	8942	2235
80	9063	2126
81	9139	2006
82	9254	1895
83	9332	1777
84	9427	1663
85	9500	1546
86	9597	1434
87	9667	1318
88	9747	1204
89	9816	1090
90	9912	980
91	9996	869
92	10069	757
93	10146	647
94	10237	538
95	10346	431
96	10448	323
97	10534	214
98	10620	107
99	10699	0
